model,query_id,query,language,category,query_type,precision_at_1,precision_at_5,hit_at_1,hit_at_5,recall_at_1,recall_at_5,recall_at_10,mrr,ndcg_at_10,embedding_ms,search_ms,total_ms
current,en_031,a dog playing on the beach with a ball,en,compositional,descriptive,1.0,0.6,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6713860725233041,13.976399903185666,36.44900000654161,50.50749995280057
current,es_031,perro jugando en la playa con una pelota,es,compositional,descriptive,0.0,0.4,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4367467095119258,20.503500010818243,12.357500032521784,32.965000020340085
current,en_032,a horse running on the beach,en,compositional,descriptive,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.82860000804067,38.44929998740554,73.43620003666729
current,es_032,caballo corriendo en la playa,es,compositional,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.441400012932718,26.217499980702996,56.76740000490099
current,en_033,purple grapes on a table,en,descriptive,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.43540004082024,43.73879998456687,78.33589997608215
current,es_033,uvas moradas sobre una mesa,es,descriptive,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.21959999203682,17.720500007271767,39.125300012528896
current,en_034,red fire truck on the street,en,descriptive,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.67490006610751,19.72310000564903,48.54960006196052
current,es_034,camion de bomberos rojo en la calle,es,descriptive,descriptive,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.703800031915307,41.19859996717423,72.05940003041178
current,en_035,musical instrument with strings,en,instrument,ambiguous,0.0,0.8,0.0,1.0,0.0,0.5,0.5,0.5,0.38685280723454163,46.14190000575036,30.268299975432456,76.52530004270375
current,es_035,instrumento musical con cuerdas,es,instrument,ambiguous,0.0,0.2,0.0,1.0,0.0,0.5,0.5,0.3333333333333333,0.3065735963827292,21.456200047396123,33.1929000094533,54.75320003461093
current,en_036,german shepherd,en,specific,specific,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,24.832399911247194,18.832999980077147,43.95630001090467
current,es_036,pastor aleman,es,specific,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.50689998921007,36.83100000489503,56.47690000478178
current,en_037,flying aircraft for war,en,vehicle,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.09929999988526,14.463200001046062,52.67879995517433
current,es_037,avion militar volando,es,vehicle,descriptive,0.0,0.2,0.0,1.0,0.0,1.0,1.0,0.2,0.38685280723454163,17.37030001822859,28.00799999386072,45.480099972337484
current,en_038,small golden fish,en,animal,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.501400059089065,16.987800016067922,31.645400100387633
current,es_038,pez dorado pequeño,es,animal,descriptive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.613300070166588,13.107400038279593,24.78450001217425
current,en_039,large animal with a long neck,en,animal,descriptive,0.0,0.4,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.5,32.080299919471145,12.953200028277934,45.10859993752092
current,es_039,animal grande con cuello largo,es,animal,descriptive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.70850010123104,17.95560005120933,34.76710000541061
current,en_040,ring with a diamond stone,en,object,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.934300026856363,40.06080003455281,56.09630001708865
current,es_040,anillo con diamante,es,object,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.83469999022782,14.22609994187951,55.21749996114522
