model,query_id,query,language,category,query_type,precision_at_1,precision_at_5,hit_at_1,hit_at_5,recall_at_1,recall_at_5,recall_at_10,mrr,ndcg_at_10,embedding_ms,search_ms,total_ms
current,es_026,avion de combate,es,vehicle,simple,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.494700001814635,22.485999998025363,42.12370000095689
current,en_027,helicopter,en,vehicle,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.659600000537466,37.7148000006855,66.42939999801456
current,es_027,helicoptero,es,vehicle,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.857999999454478,49.24599999867496,68.16190000245115
current,en_028,hot air balloon,en,vehicle,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.371499999891967,33.27750000244123,58.73040000005858
current,es_028,globo aerostatico,es,vehicle,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095700001140358,52.27609999928973,70.4397000008612
current,en_029,electric guitar,en,instrument,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.46629999819561,28.28840000074706,55.871799999295035
current,es_029,guitarra electrica,es,instrument,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.33839999846532,35.94410000005155,59.38660000174423
current,en_030,harp,en,instrument,simple,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.921800002019154,41.33279999950901,63.35580000086338
current,es_030,arpa,es,instrument,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.875599998864345,28.321599998889724,47.25540000072215
current,en_031,a dog playing on the beach with a ball,en,compositional,descriptive,0.0,0.2,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.20210734650054757,19.042899999476504,34.91609999764478,66.09549999848241
current,es_031,perro jugando en la playa con una pelota,es,compositional,descriptive,0.0,0.2,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,18.7192999983381,22.82779999950435,66.25050000002375
current,en_032,a horse running on the beach,en,compositional,descriptive,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.200399998837383,37.97469999699388,73.78949999838369
current,es_032,caballo corriendo en la playa,es,compositional,descriptive,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.948500001599314,37.6959999994142,70.15949999913573
current,en_033,purple grapes on a table,en,descriptive,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.756699999357807,40.54299999916111,59.421000001748325
current,es_033,uvas moradas sobre una mesa,es,descriptive,descriptive,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.023100002319552,14.196300002367934,37.31800000241492
current,en_034,red fire truck on the street,en,descriptive,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.641299997805618,25.052100001630606,45.84489999979269
current,es_034,camion de bomberos rojo en la calle,es,descriptive,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.76609999878565,11.593399998673704,33.44409999772324
current,en_035,musical instrument with strings,en,instrument,ambiguous,1.0,0.6,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,18.72450000155368,26.64540000114357,45.504300000175135
current,es_035,instrumento musical con cuerdas,es,instrument,ambiguous,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,20.41290000124718,20.440500000404427,40.92260000106762
current,en_036,german shepherd,en,specific,specific,1.0,0.6,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,21.84040000065579,56.8931000016164,78.86359999974957
current,es_036,pastor aleman,es,specific,specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.681699999433476,29.456099997332785,48.216700000921264
current,en_037,flying aircraft for war,en,vehicle,descriptive,0.0,0.4,0.0,1.0,0.0,1.0,1.0,0.5,0.6309297535714575,20.157999999355525,20.90160000079777,41.12930000337656
current,es_037,avion militar volando,es,vehicle,descriptive,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.18459999797051,25.381399998877896,44.62559999956284
current,en_038,small golden fish,en,animal,descriptive,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.128100000874838,28.36569999999483,53.79549999997835
current,es_038,pez dorado pequeño,es,animal,descriptive,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.34849999815924,45.593599999847356,71.93929999993998
current,en_039,large animal with a long neck,en,animal,descriptive,0.0,0.2,0.0,1.0,0.0,1.0,1.0,0.25,0.43067655807339306,19.720500000403263,26.690299997426337,46.47820000172942
current,es_039,animal grande con cuello largo,es,animal,descriptive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.049499999004183,26.49569999994128,48.07459999938146
current,en_040,ring with a diamond stone,en,object,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.90089999869815,21.827600001415703,40.798600002744934
current,es_040,anillo con diamante,es,object,descriptive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.049499998800457,27.619699998467695,46.726100001251325
